"REF_DATE","GEO","DGUID","Age group","Sex","Primary types of cancer (ICD-O-3)","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","101.5","","","","1"
"2014","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","106.1","","","","1"
"2015","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","100.8","","","","1"
"2016","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","108.1","","","","1"
"2017","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","108.3","","","","1"
"2018","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","105.8","","","","1"
"2019","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","99.7","","","","1"
"2020","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","98.3","","","","1"
"1997","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","5915","","","","0"
"1998","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","6175","","","","0"
"1999","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","6255","","","","0"
"2000","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","6340","","","","0"
"2001","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","6650","","","","0"
"2002","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","6730","","","","0"
"2003","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","6905","","","","0"
"2004","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","7060","","","","0"
"2005","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","7060","","","","0"
"2006","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","7175","","","","0"
"2007","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","7375","","","","0"
"2008","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","7725","","","","0"
"2009","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","7740","","","","0"
"2010","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","8600","","","","0"
"2011","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","8685","","","","0"
"2012","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","9040","","","","0"
"2013","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","8230","","","","0"
"2014","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","9000","","","","0"
"2015","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","8925","","","","0"
"2016","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","9155","","","","0"
"2017","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","9600","","","","0"
"2018","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","","..","","","0"
"2019","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","","..","","","0"
"2020","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43854259","6.1.1.22.1","","..","","","0"
"1997","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","81.3","","","","1"
"1998","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","84.6","","","","1"
"1999","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","85.4","","","","1"
"2000","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","86.2","","","","1"
"2001","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","89.9","","","","1"
"2002","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","90.4","","","","1"
"2003","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","92.2","","","","1"
"2004","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","93.7","","","","1"
"2005","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","93.1","","","","1"
"2006","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","94.0","","","","1"
"2007","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","95.9","","","","1"
"2008","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","99.5","","","","1"
"2009","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","98.7","","","","1"
"2010","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","108.5","","","","1"
"2011","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","108.5","","","","1"
"2012","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","112.1","","","","1"
"2013","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","101.5","","","","1"
"2014","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","110.4","","","","1"
"2015","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","109.2","","","","1"
"2016","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","111.3","","","","1"
"2017","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","115.6","","","","1"
"2018","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","","..","","","1"
"2019","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","","..","","","1"
"2020","Quebec","2016A000224","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43854260","6.1.1.22.2","","..","","","1"
"1997","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","6460","","","","0"
"1998","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","6740","","","","0"
"1999","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","6755","","","","0"
"2000","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","6900","","","","0"
"2001","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","6965","","","","0"
"2002","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","6880","","","","0"
"2003","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","6810","","","","0"
"2004","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","7125","","","","0"
"2005","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","7550","","","","0"
"2006","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","7610","","","","0"
"2007","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","7695","","","","0"
"2008","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","7800","","","","0"
"2009","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","8055","","","","0"
"2010","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","8895","","","","0"
"2011","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","8980","","","","0"
"2012","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","9465","","","","0"
"2013","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","9270","","","","0"
"2014","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","9405","","","","0"
"2015","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","9385","","","","0"
"2016","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","9475","","","","0"
"2017","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","9975","","","","0"
"2018","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","9905","","","","0"
"2019","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","9870","","","","0"
"2020","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43867459","7.1.1.22.1","8575","","","","0"
"1997","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","57.5","","","","1"
"1998","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","59.3","","","","1"
"1999","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","58.7","","","","1"
"2000","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","59.1","","","","1"
"2001","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","58.5","","","","1"
"2002","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","56.9","","","","1"
"2003","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","55.6","","","","1"
"2004","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","57.5","","","","1"
"2005","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","60.3","","","","1"
"2006","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","60.1","","","","1"
"2007","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","60.3","","","","1"
"2008","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","60.5","","","","1"
"2009","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","62.0","","","","1"
"2010","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","67.7","","","","1"
"2011","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","67.7","","","","1"
"2012","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","70.7","","","","1"
"2013","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","68.6","","","","1"
"2014","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","69.1","","","","1"
"2015","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","68.5","","","","1"
"2016","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","68.3","","","","1"
"2017","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","70.9","","","","1"
"2018","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","69.2","","","","1"
"2019","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","67.9","","","","1"
"2020","Ontario","2016A000235","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43867460","7.1.1.22.2","58.2","","","","1"
"1997","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","750","","","","0"
"1998","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","780","","","","0"
"1999","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","760","","","","0"
"2000","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","785","","","","0"
"2001","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","790","","","","0"
"2002","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","845","","","","0"
"2003","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","820","","","","0"
"2004","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","845","","","","0"
"2005","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","870","","","","0"
"2006","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","805","","","","0"
"2007","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","825","","","","0"
"2008","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","875","","","","0"
"2009","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","895","","","","0"
"2010","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","850","","","","0"
"2011","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","840","","","","0"
"2012","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","840","","","","0"
"2013","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","845","","","","0"
"2014","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","930","","","","0"
"2015","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","890","","","","0"
"2016","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","835","","","","0"
"2017","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","860","","","","0"
"2018","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","885","","","","0"
"2019","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","935","","","","0"
"2020","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43880659","8.1.1.22.1","905","","","","0"
"1997","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43880660","8.1.1.22.2","66.0","","","","1"
"1998","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43880660","8.1.1.22.2","68.6","","","","1"
"1999","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43880660","8.1.1.22.2","66.5","","","","1"
"2000","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43880660","8.1.1.22.2","68.4","","","","1"
"2001","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43880660","8.1.1.22.2","68.6","","","","1"
"2002","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43880660","8.1.1.22.2","73.1","","","","1"
"2003","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43880660","8.1.1.22.2","70.5","","","","1"
"2004","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43880660","8.1.1.22.2","72.0","","","","1"
"2005","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43880660","8.1.1.22.2","73.8","","","","1"
"2006","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43880660","8.1.1.22.2","68.0","","","","1"
"2007","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43880660","8.1.1.22.2","69.4","","","","1"
"2008","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43880660","8.1.1.22.2","73.1","","","","1"
"2009","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43880660","8.1.1.22.2","74.1","","","","1"
"2010","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43880660","8.1.1.22.2","69.6","","","","1"
"2011","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43880660","8.1.1.22.2","68.1","","","","1"
"2012","Manitoba","2016A000246","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43880660","8.1.1.22.2","67.2","","","","1"
